submission_id,picture_middle,gender,comments,id,startDate,languages,block,endTime,response,pic1,type,bob,timeSpent,group,RT,check_ann,property_pic2,pic0,picture_left,check_behavior,age,question,trial_number,startTime,education,expected,selected_pic,experiment_id,answer,QUD,botresponse,question_long,prolific_id,picture_right,trial_name,pic2,pic3,property_pic3,score,property_pic1
3722,NA,female,,if1_hn,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,green,NA,training,NA,33.62286666666667,NA,26943,same-ifp,NA,NA,NA,cautious,29,NA,1,1655480414874,Higher Degree,blue|green,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if1_ln,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,blue|green,NA,training,NA,33.62286666666667,NA,11955,same-ifp,NA,NA,NA,cautious,29,NA,2,1655480414874,Higher Degree,none,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if2_nnh,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,none,NA,training,NA,33.62286666666667,NA,11269,same-ifp,NA,NA,NA,cautious,29,NA,3,1655480414874,Higher Degree,blue|yellow,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if1_nn,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,none,NA,training,NA,33.62286666666667,NA,9678,same-ifp,NA,NA,NA,cautious,29,NA,4,1655480414874,Higher Degree,none,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if1_ind_hn,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,blue|green,NA,training,NA,33.62286666666667,NA,12910,same-ifp,NA,NA,NA,cautious,29,NA,5,1655480414874,Higher Degree,blue,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if2_nnl,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,none,NA,training,NA,33.62286666666667,NA,8509,same-ifp,NA,NA,NA,cautious,29,NA,6,1655480414874,Higher Degree,none,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,independent_edge_nh,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,green,NA,training,NA,33.62286666666667,NA,26413,same-ifp,NA,NA,NA,cautious,29,NA,7,1655480414874,Higher Degree,green,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,NA,female,,if2_hnh,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,NA,1655482432246,blue|green|yellow,NA,training,NA,33.62286666666667,NA,36477,same-ifp,NA,NA,NA,cautious,29,NA,8,1655480414874,Higher Degree,blue|green|yellow,NA,82,NA,Use the buttons below to select all the blocks that you think will fall.<br/>(Multiple selections possible!),Susan,NA,61365f766033bc62f92053dc,NA,animation_buttons,NA,NA,NA,NA,NA
3722,pic1,female,,trial8,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,practice,1655482432246,pragmatic,if2_nnn_horiz.png,practice,pic2,33.62286666666667,group2,27550,same-ifp,pragmatic,ant_n.jpeg,pic3,cautious,29,NA,1,1655480414874,Higher Degree,,pic2,82,The YELLOW block will fall.,neutral,Susan,<b>Which blocks do you think will fall?</b>,61365f766033bc62f92053dc,pic2,image_selection,if2_nnh_right.png,if2_nnh.png,literal,100,contrast
3722,pic1,female,,trial7,Fri Jun 17 2022 11:40:14 GMT-0400 (Eastern Daylight Time),English,practice,1655482432246,pragmatic,if1_un.png,practice,pic3,33.62286666666667,group1,62702,same-ifp,literal,cons_n.jpeg,pic3,cautious,29,NA,2,1655480414874,Higher Degree,pic3,pic3,82,"If the ANT or the YELLOW block falls, the CONS block will fall.",neutral,Susan,<b>Which blocks do you think will fall?</b>,61365f766033bc62f92053dc,pic2,image_selection,if2_unn_horiz.png,if2_unu.png,pragmatic,100,contrast
